Latitude,Longitude,Slide_Name,State,Material Involved,Movement Type,Initiation_Year,History_date
8.49,77.39,Balamore estate slide,Tamil Nadu,Debris,Slide,0,
8.507778,77.189722,Amboori,Kerala,Debris,Slide,2001,
8.507833,77.189,Amboori,Kerala,Debris,Creep,2001,
8.508861,77.1575,Perekonam,Kerala,Debris,Flow,2000,
8.509833,77.169139,Kandamthitta,Kerala,Rock,Creep,2007,
8.510528,77.157944,Paramukal,Kerala,Debris,Creep,1996,
8.519028,77.16775,Pottanthottam,Kerala,Debris,Flow,1989,
8.54,77.47,Sengaltheri slide -1,Tamil Nadu,Debris,Slide,0,
8.54,77.47,Sengaltheri slide -2,Tamil Nadu,Debris,Slide,0,
8.54,77.47,Muthaliruppan slide,Tamil Nadu,Debris,Slide,0,
8.56,77.4,Nalumukku slide,Tamil Nadu,Debris,Slide,0,
8.58,77.43,Manjolai estate check post,Tamil Nadu,Debris,Slide,0,
8.588778,77.099083,,Kerala,Debris,Flow,1992,
8.59,77.35,Oothu slide-1,Tamil Nadu,Debris,Flow,0,
8.59,77.35,Oothu slide-2,Tamil Nadu,Debris,Slide,0,
8.64294,77.0712,Chettikunnu,Kerala,Rock,Slide,2016,
8.703,77.114472,Vattakayam,Kerala,Debris,Creep,1993,
8.711083,77.143339,Kallar,Kerala,Debris,Flow,1984,
8.74275,77.13425,Merchestian Estate,Kerala,Debris,Flow,1992,
8.742944,77.132194,Merchestian Estate,Kerala,Debris,Flow,1992,
8.743139,77.161028,Merchestian Estate,Kerala,Debris,Flow,1992,
8.747056,77.132944,Ponmudi,Kerala,Rock,Fall,1992,
8.747056,77.132944,Ponmudi,Kerala,Debris,Flow,1992,
8.74875,77.130722,Merchestian Estate,Kerala,Debris,Flow,1988,
8.751889,77.071,Idinjar,Kerala,Debris,Flow,1992,
8.75475,77.125389,"Kambimoodu-Idivukovil (Between hairpin
curve  21 &22)",Kerala,Debris,Slide,2011,
8.758972,77.114917,Ponmudi near hair pin 22,Kerala,Debris,Creep,2002,
8.763333,77.076861,Brimor-Kurisadi,Kerala,Debris,Slide,1992,
8.763333,77.109556,Ponmudi Upper Sanatorium,Kerala,Debris,Slide,2010,
8.764472,77.078611,Brimor-Kurisadi,Kerala,Debris,Slide,1992,
